time,sewer_and_water,power,roads_and_bridges,medical,buildings,shake_intensity,location
08/04/2020 17:50,10,6,10,3,8,1,1
09/04/2020 13:50,2,10,0,8,4,0,1
09/04/2020 00:20,7,10,10,9,10,0,1
08/04/2020 17:25,1,1,2,10,7,1,1
08/04/2020 02:50,9,7,1,6,9,1,1
09/04/2020 05:30,2,7,3,10,10,1,1
08/04/2020 04:30,2,10,1,2,8,1,1
10/04/2020 11:00,5,0,4,10,8,1,1
10/04/2020 19:40,10,7,7,1,3,0,1
07/04/2020 22:00,6,6,5,7,2,1,1
09/04/2020 23:00,4,0,6,7,5,0,1
08/04/2020 15:30,2,4,9,6,6,1,1
08/04/2020 20:10,2,2,2,7,4,1,1
10/04/2020 15:05,1,7,5,10,5,1,1
06/04/2020 08:30,0,5,10,5,7,1,1
06/04/2020 10:25,9,2,2,9,10,1,1
06/04/2020 02:25,0,8,2,8,10,1,1
10/04/2020 03:55,2,10,1,8,9,1,1
09/04/2020 21:25,8,5,3,1,0,1,1
10/04/2020 08:25,3,6,8,10,3,1,1
10/04/2020 21:25,10,6,3,4,5,1,1
09/04/2020 23:55,0,4,0,6,5,1,1
08/04/2020 07:25,10,1,7,4,7,1,1
09/04/2020 21:40,10,5,3,2,8,1,1
06/04/2020 14:10,8,10,8,7,0,1,1
09/04/2020 04:45,8,4,2,8,10,1,1
06/04/2020 17:10,1,5,4,5,10,1,1
10/04/2020 17:20,0,5,3,7,2,1,1
08/04/2020 14:35,5,6,1,9,6,0,1
08/04/2020 01:45,8,3,6,9,5,0,1
07/04/2020 07:45,2,8,10,6,1,1,1
09/04/2020 20:55,3,1,10,9,10,1,1
08/04/2020 06:45,5,4,5,9,5,1,1
08/04/2020 20:15,10,2,10,3,1,1,1
06/04/2020 02:15,3,9,8,9,9,1,1
09/04/2020 02:05,8,7,10,10,2,1,1
09/04/2020 01:25,6,4,4,3,3,1,1
09/04/2020 02:00,4,1,3,10,0,1,1
10/04/2020 17:15,6,8,6,7,3,1,1
09/04/2020 09:50,3,2,5,2,0,1,1
07/04/2020 19:10,6,3,3,8,1,1,1
08/04/2020 04:25,2,3,7,1,10,1,1
09/04/2020 11:45,6,10,8,3,2,1,1
06/04/2020 07:15,5,4,8,2,2,1,1
09/04/2020 08:00,10,1,10,1,3,1,1
09/04/2020 08:30,5,10,3,7,4,1,1
07/04/2020 01:15,9,6,7,10,10,1,1
06/04/2020 15:30,4,2,8,10,5,1,1
07/04/2020 13:50,6,5,5,8,8,1,1
07/04/2020 19:40,5,4,7,10,5,1,1
08/04/2020 20:25,10,10,2,10,1,1,1
08/04/2020 04:40,1,10,7,7,6,1,1
10/04/2020 22:35,3,9,8,5,1,1,1
06/04/2020 12:15,3,1,0,7,9,1,1
07/04/2020 01:05,10,5,7,10,6,1,1
06/04/2020 19:20,8,9,4,7,1,1,1
09/04/2020 06:20,9,4,8,1,5,1,1
07/04/2020 06:25,5,5,4,5,6,1,1
08/04/2020 07:55,5,7,4,6,2,1,1
07/04/2020 05:20,6,4,10,10,2,1,1
06/04/2020 19:05,0,4,0,5,10,0,1
06/04/2020 13:15,9,2,4,8,9,1,1
